fecha,hora,sexo,feliz,triste,enojado,neutral,sorpresa,miedo,asco,curso,grado,materia,temperatura
2025-08-25,23:44:40,Hombre,0.0,6.31,37.25,56.38,0.0,0.06,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:44:47,Hombre,0.0,0.1,96.87,3.02,0.0,0.0,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:44:48,Hombre,0.0,1.14,2.43,96.38,0.0,0.05,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:44:50,Hombre,0.0,0.02,0.12,99.85,0.0,0.0,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:44:51,Hombre,0.0,0.88,0.95,98.16,0.0,0.01,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:44:53,Hombre,0.06,0.99,11.5,87.15,0.01,0.29,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:44:54,Hombre,63.65,12.25,0.0,23.8,0.0,0.29,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:44:55,Hombre,99.06,0.0,0.01,0.84,0.01,0.08,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:44:55,Hombre,2.45,12.0,17.97,4.27,0.01,63.1,0.2,media,4-medio,matematicas,10.5
2025-08-25,23:44:58,Hombre,0.0,0.82,0.54,98.63,0.0,0.01,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:44:59,Hombre,55.73,0.11,0.8,43.04,0.06,0.26,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:01,Hombre,0.09,0.34,0.85,98.72,0.0,0.0,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:02,Hombre,0.07,0.04,0.1,99.8,0.0,0.0,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:04,Hombre,0.0,3.12,28.65,67.11,0.0,1.12,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:05,Hombre,0.0,17.34,13.09,69.3,0.0,0.27,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:07,Hombre,0.0,3.22,3.56,93.07,0.0,0.15,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:08,Hombre,0.0,1.11,17.54,81.09,0.0,0.24,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:10,Hombre,0.01,7.09,33.54,56.17,0.01,3.18,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:11,Hombre,0.05,7.7,18.55,73.02,0.0,0.68,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:12,Hombre,0.0,0.2,0.89,98.9,0.0,0.0,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:14,Hombre,0.0,0.99,0.97,98.01,0.0,0.03,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:15,Hombre,0.0,2.27,9.89,87.73,0.0,0.11,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:17,Hombre,0.0,0.29,0.86,98.84,0.0,0.01,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:18,Hombre,0.0,0.13,2.15,97.71,0.0,0.01,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:19,Hombre,0.0,2.34,15.12,82.44,0.0,0.1,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:20,Hombre,0.0,0.86,94.75,3.18,0.08,1.12,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:21,Hombre,0.0,0.32,0.52,99.15,0.0,0.0,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:23,Hombre,0.0,0.08,0.2,99.72,0.0,0.0,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:24,Hombre,0.0,0.34,0.3,99.33,0.0,0.03,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:25,Hombre,0.0,0.52,0.84,98.63,0.0,0.01,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:26,Hombre,0.0,0.75,0.48,98.76,0.0,0.01,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:28,Hombre,0.0,0.33,0.26,99.4,0.0,0.0,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:29,Hombre,0.0,0.18,0.56,99.24,0.0,0.01,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:35,Hombre,99.09,0.0,0.03,0.81,0.01,0.06,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:36,Hombre,0.01,0.51,14.31,85.01,0.03,0.13,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:38,Hombre,0.0,3.95,69.72,25.52,0.0,0.81,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:41,Hombre,0.02,25.81,13.07,10.47,0.3,50.33,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:43,Hombre,0.17,28.36,6.4,1.14,0.17,63.76,0.01,media,4-medio,matematicas,10.5
2025-08-25,23:45:44,Hombre,0.02,13.41,4.33,0.75,0.45,81.05,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:45,Hombre,0.02,13.03,4.67,1.42,1.02,79.83,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:46,Hombre,0.11,25.69,3.85,2.21,0.33,67.78,0.03,media,4-medio,matematicas,10.5
2025-08-25,23:45:47,Hombre,0.0,2.26,1.64,95.92,0.0,0.17,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:49,Hombre,0.0,17.68,22.3,57.38,0.0,2.63,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:51,Hombre,0.0,1.58,2.75,95.32,0.0,0.35,0.0,media,4-medio,matematicas,10.5
2025-08-25,23:45:53,Hombre,0.0,2.8,38.08,53.39,0.02,5.69,0.01,media,4-medio,matematicas,10.5
2025-08-25,23:45:54,Hombre,0.0,29.14,37.08,16.75,0.0,16.93,0.09,media,4-medio,matematicas,10.5
2025-08-25,23:45:55,Hombre,0.0,17.63,66.01,6.4,0.04,9.9,0.02,media,4-medio,matematicas,10.5
