fecha;hora;sexo;emocion;porcentaje;curso;grado;materia;temperatura
26-08-2025;0:01:16;Hombre;feliz;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:16;Hombre;triste;86.93;media;3-medio;filosofia;14.3
26-08-2025;0:01:16;Hombre;enojado;8.69;media;3-medio;filosofia;14.3
26-08-2025;0:01:16;Hombre;neutral;0.67;media;3-medio;filosofia;14.3
26-08-2025;0:01:16;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:16;Hombre;miedo;3.71;media;3-medio;filosofia;14.3
26-08-2025;0:01:16;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:26;Hombre;feliz;0.05;media;3-medio;filosofia;14.3
26-08-2025;0:01:26;Hombre;triste;11.18;media;3-medio;filosofia;14.3
26-08-2025;0:01:26;Hombre;enojado;1.36;media;3-medio;filosofia;14.3
26-08-2025;0:01:26;Hombre;neutral;87.17;media;3-medio;filosofia;14.3
26-08-2025;0:01:26;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:26;Hombre;miedo;0.24;media;3-medio;filosofia;14.3
26-08-2025;0:01:26;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:27;Hombre;feliz;99.84;media;3-medio;filosofia;14.3
26-08-2025;0:01:27;Hombre;triste;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:27;Hombre;enojado;0.03;media;3-medio;filosofia;14.3
26-08-2025;0:01:27;Hombre;neutral;0.01;media;3-medio;filosofia;14.3
26-08-2025;0:01:27;Hombre;sorpresa;0.09;media;3-medio;filosofia;14.3
26-08-2025;0:01:27;Hombre;miedo;0.02;media;3-medio;filosofia;14.3
26-08-2025;0:01:27;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:30;Hombre;feliz;99.98;media;3-medio;filosofia;14.3
26-08-2025;0:01:30;Hombre;triste;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:30;Hombre;enojado;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:30;Hombre;neutral;0.02;media;3-medio;filosofia;14.3
26-08-2025;0:01:30;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:30;Hombre;miedo;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:30;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:31;Hombre;feliz;100.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:31;Hombre;triste;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:31;Hombre;enojado;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:31;Hombre;neutral;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:31;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:31;Hombre;miedo;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:31;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:32;Mujer;feliz;99.7;media;3-medio;filosofia;14.3
26-08-2025;0:01:32;Mujer;triste;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:32;Mujer;enojado;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:32;Mujer;neutral;0.3;media;3-medio;filosofia;14.3
26-08-2025;0:01:32;Mujer;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:32;Mujer;miedo;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:32;Mujer;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:34;Hombre;feliz;99.96;media;3-medio;filosofia;14.3
26-08-2025;0:01:34;Hombre;triste;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:34;Hombre;enojado;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:34;Hombre;neutral;0.04;media;3-medio;filosofia;14.3
26-08-2025;0:01:34;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:34;Hombre;miedo;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:34;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:36;Hombre;feliz;20.2;media;3-medio;filosofia;14.3
26-08-2025;0:01:36;Hombre;triste;79.71;media;3-medio;filosofia;14.3
26-08-2025;0:01:36;Hombre;enojado;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:36;Hombre;neutral;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:36;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:36;Hombre;miedo;0.09;media;3-medio;filosofia;14.3
26-08-2025;0:01:36;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:38;Hombre;feliz;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:38;Hombre;triste;4.2;media;3-medio;filosofia;14.3
26-08-2025;0:01:38;Hombre;enojado;12.89;media;3-medio;filosofia;14.3
