fecha,hora,sexo,emocion,porcentaje,curso,grado,materia,temperatura
2025-08-26,11:47:20,Hombre,feliz,0.0,basica,2-basico,musica,11.1
2025-08-26,11:47:20,Hombre,triste,0.2,basica,2-basico,musica,11.1
2025-08-26,11:47:20,Hombre,enojado,0.05,basica,2-basico,musica,11.1
2025-08-26,11:47:20,Hombre,neutral,99.75,basica,2-basico,musica,11.1
2025-08-26,11:47:20,Hombre,sorpresa,0.0,basica,2-basico,musica,11.1
2025-08-26,11:47:20,Hombre,miedo,0.0,basica,2-basico,musica,11.1
2025-08-26,11:47:20,Hombre,asco,0.0,basica,2-basico,musica,11.1
2025-08-26,11:47:41,Hombre,feliz,0.12,basica,2-basico,musica,11.1
2025-08-26,11:47:41,Hombre,triste,29.23,basica,2-basico,musica,11.1
2025-08-26,11:47:41,Hombre,enojado,17.96,basica,2-basico,musica,11.1
2025-08-26,11:47:41,Hombre,neutral,50.57,basica,2-basico,musica,11.1
2025-08-26,11:47:41,Hombre,sorpresa,0.0,basica,2-basico,musica,11.1
2025-08-26,11:47:41,Hombre,miedo,2.12,basica,2-basico,musica,11.1
2025-08-26,11:47:41,Hombre,asco,0.0,basica,2-basico,musica,11.1
2025-08-26,11:47:43,Hombre,feliz,0.02,basica,2-basico,musica,11.1
2025-08-26,11:47:43,Hombre,triste,46.99,basica,2-basico,musica,11.1
2025-08-26,11:47:43,Hombre,enojado,8.87,basica,2-basico,musica,11.1
2025-08-26,11:47:43,Hombre,neutral,42.95,basica,2-basico,musica,11.1
2025-08-26,11:47:43,Hombre,sorpresa,0.0,basica,2-basico,musica,11.1
2025-08-26,11:47:43,Hombre,miedo,1.17,basica,2-basico,musica,11.1
2025-08-26,11:47:43,Hombre,asco,0.0,basica,2-basico,musica,11.1
2025-08-26,11:47:44,Hombre,feliz,0.45,basica,2-basico,musica,11.1
2025-08-26,11:47:44,Hombre,triste,40.93,basica,2-basico,musica,11.1
2025-08-26,11:47:44,Hombre,enojado,8.85,basica,2-basico,musica,11.1
2025-08-26,11:47:44,Hombre,neutral,47.92,basica,2-basico,musica,11.1
2025-08-26,11:47:44,Hombre,sorpresa,0.0,basica,2-basico,musica,11.1
2025-08-26,11:47:44,Hombre,miedo,1.84,basica,2-basico,musica,11.1
2025-08-26,11:47:44,Hombre,asco,0.0,basica,2-basico,musica,11.1
2025-08-26,11:47:44,Hombre,feliz,0.2,basica,2-basico,musica,11.1
2025-08-26,11:47:44,Hombre,triste,3.55,basica,2-basico,musica,11.1
2025-08-26,11:47:44,Hombre,enojado,1.37,basica,2-basico,musica,11.1
2025-08-26,11:47:44,Hombre,neutral,94.44,basica,2-basico,musica,11.1
2025-08-26,11:47:44,Hombre,sorpresa,0.0,basica,2-basico,musica,11.1
2025-08-26,11:47:44,Hombre,miedo,0.45,basica,2-basico,musica,11.1
2025-08-26,11:47:44,Hombre,asco,0.0,basica,2-basico,musica,11.1
2025-08-26,11:47:45,Hombre,feliz,0.08,basica,2-basico,musica,11.1
2025-08-26,11:47:45,Hombre,triste,23.75,basica,2-basico,musica,11.1
2025-08-26,11:47:45,Hombre,enojado,12.81,basica,2-basico,musica,11.1
2025-08-26,11:47:45,Hombre,neutral,60.14,basica,2-basico,musica,11.1
